title,description,url,image
Virtual You,"An extensive Agentic RAG application using React, FastAPI, MCP and MongoDB that serves as a virtual representive of yourself",https://github.com/ilyan146/openai_sdk_resume_assistant,17.png
Deep Research,Chatbot for doing Deep Research scouring through the internet by provoking further questions.,https://github.com/ilyan146/deep_search,10.png
LangGraph Agentic Side Kick,An Agentic Sidekick made with LangGraph that can do your daily tasks for you using tools and API calls,https://github.com/ilyan146/langgraph_sidekick,14.png
Hotel Booking Application,"A hotel booking program that displays, verifies and generates booking receipt with  the use of credit card.",https://github.com/ilyan146/Hotel_Booking_App_OOP/tree/master,5.png
Weather Web Scraper,"A program that checks the current world average temperature using a SQL databse,optional to send an email when there is a change.",https://github.com/ilyan146/data_programs/tree/master/Programs/app10-webscraping-sql/webscrape_temp,8.png
Visualizing Weather Forecast,A data web app that visualizes the weather forecast for the next five days of any city.,https://github.com/ilyan146/data_programs/tree/master/Programs/app7-weather-forecast-data-app,16.png
Weather API,A REST API built with Python and Flask to serve historical weather data for various cities.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app6-your-weather-api/main.py,6.png
PDF Invoices,A script that reads invoice records from Excel files and automatically generates PDF invoices.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app4-invoice-generation/main.py,4.png
PDF Templates,A script that generates PDF templates of multiple pages given some predefined guidelines.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app3-pdf-templates/main.py,3.png
Portfolio Website,A website built entirely in Python to showcase coding projects and apps.,https://github.com/ilyan146/My_Programs/blob/master/Programs/app2-personal_portfolio/main.py,2.png
Todo App,A distraction-free web app to help you focus on creating and completing tasks.,https://github.com/ilyan146/My-to-do-app-in-web/blob/master/web.py,1.png
